"id_hecho","fecha","año","mes","dia","hora_detallada","hora","dia_semana","","direccion","comuna","tipo_de_calle","geocodificacion_caba","longitud","latitud","causante","afectado","n_victimas","","",""
"LC-2023-0002061","2023-01-05","2023","Enero","5","7:02:00 AM","7","Jueves","PAZ, GRAL. AV. 6216","Paz, Gral. Av. 6216","11","Av. General Paz","POINT(95005.69444 104512.9123)","-58.51773","-34.58857","Moto","Auto","1","","",""
"LC-2023-0002450","2023-01-05","2023","Enero","5","6:05:00 PM","18","Jueves","FRAGATA PRES. SARMIENTO 1091","Fragata Pres. Sarmiento 1091","6","Calle","POINT(100800.7237 101902.4667)","-58.45457","-34.61211","Bicicleta","Transporte Público","1","","",""
"LC-2023-0002548","2023-01-05","2023","Enero","5","11:58:00 AM","11","Jueves","BROWN, ALTE. AV. 1347","Brown, Alte. Av. 1347","4","Avenida","POINT(109630.4291 99187.73026)","-58.35823","-34.63652","Transporte Público","Auto","1","","",""
"LC-2023-0002641","2023-01-06","2023","Enero","6","9:00:00 AM","9","Viernes","PUEYRREDÓN, HONORIO, DR. AV. y BELAUSTEGUI, LUIS, DR.","Pueyrredón, Honorio, Dr. Av. Y Belaustegui, Luis, Dr.","15","Avenida","POINT(101166.3737 103048.6521)","-58.45058","-34.60178","Monopatín","Auto","1","","",""
"LC-2023-0002711","2023-01-06","2023","Enero","6","11:00:00 AM","11","Viernes","GÜEMES 3390","Güemes 3390","14","Calle","POINT(104710.8358 104364.5362)","-58.41195","-34.58991","Peatón","Auto","1","","",""
"LC-2023-0002898","2023-01-06","2023","Enero","6","12:00:00 PM","12","Viernes","ESPINOSA y SAN MARTÍN AV.","Espinosa Y San Martín Av.","15","Avenida","POINT(100617.8349 102693.923)","-58.45656","-34.60498","Moto","Múltiple","1","","",""
"LC-2023-0002941","2023-01-06","2023","Enero","6","12:49:00 PM","12","Viernes","RAMÍREZ DE VELASCO, JUAN y ARÁOZ","Ramírez De Velasco, Juan Y Aráoz","15","Calle","POINT(102510.4622 103335.9665)","-58.43593","-34.59919","Bicicleta","Auto","1","","",""
"LC-2023-0002949","2023-01-06","2023","Enero","6","12:50:00 PM","12","Viernes","BRANDSEN y LUZURIAGA","Brandsen Y Luzuriaga","4","Calle","POINT(106894.5461 98863.4228)","-58.3881","-34.63949","Moto","Auto","2","","",""
"LC-2023-0003024","2023-01-06","2023","Enero","6","4:00:00 PM","16","Viernes","GAONA AV. y BOYACÁ","Gaona Av. Y Boyacá","11","Avenida","POINT(99901.5362 101502.2662)","-58.46437","-34.61572","Moto","Taxi","1","","",""
"LC-2023-0003084","2023-01-06","2023","Enero","6","3:30:00 PM","15","Viernes","ALBERDI, JUAN BAUTISTA AV. 6868","Alberdi, Juan Bautista Av. 6868","9","Avenida","POINT(95636.00095 96782.11436)","-58.5109","-34.65826","Bicicleta","Utilitario","1","","",""
"LC-2023-0003442","2023-01-06","2023","Enero","6","7:00:00 PM","19","Viernes","ESMERALDA y ALVEAR, MARCELO T. DE","Esmeralda Y Alvear, Marcelo T. De","1","Calle","POINT(107784.3631 103646.8111)","-58.37844","-34.59636","Moto","Transporte Público","1","","",""
"LC-2023-0003515","2023-01-06","2023","Enero","6","7:11:00 PM","19","Viernes","CASEROS AV. y ENTRE RÍOS AV.","Caseros Av. Y Entre Ríos Av.","4","Avenida","POINT(106688.4341 99459.27515)","-58.39035","-34.63412","Transporte Público","Auto","1","","",""
"LC-2023-0003860","2023-01-06","2023","Enero","6","7:14:00 PM","19","Viernes","CASTRO BARROS y GARAY, JUAN DE AV.","Castro Barros Y Garay, Juan De Av.","5","Avenida","POINT(104173.4916 99741.27717)","-58.41778","-34.63159","Moto","Auto","1","","",""
"LC-2023-0004298","2023-01-06","2023","Enero","6","6:00:00 PM","18","Viernes","CUENCA y ARREGUÍ","Cuenca Y Arreguí","11","Calle","POINT(97561.53587 102377.0761)","-58.48988","-34.60783","Moto","Auto","1","","",""
"LC-2023-0004427","2023-01-06","2023","Enero","6","8:00:00 PM","20","Viernes","DIRECTORIO AV. y GUAMINÍ","Directorio Av. Y Guaminí","9","Avenida","POINT(95916.47836 96137.50561)","-58.50784","-34.66407","Auto","Auto","4","","",""
"LC-2023-0004440","2023-01-06","2023","Enero","6","7:30:00 PM","19","Viernes","TRIUNVIRATO AV. y LA PAMPA","Triunvirato Av. Y La Pampa","15","Avenida","POINT(98560.53731 105562.6189)","-58.47898","-34.57912","Transporte Público","Auto","1","","",""
"LC-2023-0004448","2023-01-06","2023","Enero","6","8:30:00 PM","20","Viernes","SÁENZ AV. y ESQUIU","Sáenz Av. Y Esquiu","4","Avenida","POINT(104302.0194 97475.68673)","-58.41637","-34.65201","Bicicleta","Auto","1","","",""
"LC-2023-0004545","2023-01-06","2023","Enero","6","7:30:00 PM","19","Viernes","PERÓN, EVA AV. y CALAZA, JOSÉ MARÍA","Perón, Eva Av. Y Calaza, José María","9","Avenida","POINT(99552.16571 97969.82916)","-58.46818","-34.64756","Peatón","Auto","1","","",""
"LC-2023-0004834","2023-01-06","2023","Enero","6","7:15:00 PM","19","Viernes","CAÑADA DE GÓMEZ y PATRÓN","Cañada De Gómez Y Patrón","9","Calle","POINT(94960.96284 97632.29391)","-58.51826","-34.6506","Bicicleta","Auto","1","","",""
"LC-2023-0004971","2023-01-06","2023","Enero","6","11:00:00 AM","11","Viernes","ARANGUREN, JUAN F., DR. y GAINZA, MARTÍN DE, GRAL.","Aranguren, Juan F., Dr. Y Gainza, Martín De, Gral.","6","Calle","POINT(101523.9996 101405.8875)","-58.44668","-34.61659","Moto","Auto","1","","",""
"LC-2023-0004983","2023-01-06","2023","Enero","6","3:45:00 PM","15","Viernes","BOYACÁ AV. y BACACAY","Boyacá Av. Y Bacacay","7","Avenida","POINT(100472.9086 100519.6046)","-58.45814","-34.62458","Auto","Auto","1","","",""
"LC-2023-0005089","2023-01-07","2023","Enero","7","10:06:00 AM","10","Sábado","PAZ, GRAL. AV. y DEL LIBERTADOR AV.","Paz, Gral. Av. Y Del Libertador Av.","13","Av. General Paz","POINT(99677.92264 110364.1568)","-58.4668","-34.53584","Auto","Auto","1","","",""
"LC-2023-0005165","2023-01-07","2023","Enero","7","10:05:00 AM","10","Sábado","RIVADAVIA AV. y ROJAS","Rivadavia Av. Y Rojas","6","Avenida","POINT(102002.5289 100970.9862)","-58.44146","-34.62051","Moto","Moto","1","","",""
"LC-2023-0005179","2023-01-07","2023","Enero","7","12:30:00 PM","12","Sábado","PERÓN, EVA AV. y ACOSTA, MARIANO","Perón, Eva Av. Y Acosta, Mariano","9","Avenida","POINT(99649.49566 98143.82212)","-58.46712","-34.646","Transporte Público","Utilitario","1","","",""
"LC-2023-0005285","2023-01-07","2023","Enero","7","11:48:00 AM","11","Sábado","DEL LIBERTADOR AV. y CERRITO","Del Libertador Av. Y Cerrito","1","Avenida","POINT(107461.1764 104497.7507)","-58.38197","-34.58869","Auto","Utilitario","1","","",""
"LC-2023-0005865","2023-01-07","2023","Enero","7","9:44:00 AM","9","Sábado","VARELA AV. y DÍAZ, AVELINO","Varela Av. Y Díaz, Avelino","7","Avenida","POINT(100992.9862 98239.01128)","-58.45247","-34.64514","Bicicleta","Auto","1","","",""
"LC-2023-0005937","2023-01-07","2023","Enero","7","3:30:00 PM","15","Sábado","GRIVEO y CONCORDIA","Griveo Y Concordia","11","Calle","POINT(95559.52997 104413.2288)","-58.5117","-34.58947","Moto","Auto","2","","",""
"LC-2023-0006274","2023-01-07","2023","Enero","7","5:30:00 PM","17","Sábado","GARCÍA, JUAN AGUSTÍN y VIRGILIO","García, Juan Agustín Y Virgilio","10","Calle","POINT(95877.64388 100093.9541)","-58.50825","-34.62841","Taxi","Auto","1","","",""
